,pChEMBL Value,#RO5 Violations,Smiles
70,8.99,0,Cn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21
71,8.99,0,O=C(Nc1ccccc1Br)c1coc2ccccc2c1=O
72,8.97,0,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O
73,8.97,0,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
74,8.97,0,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
75,8.96,0,O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(Cl)c1
76,8.96,0,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O
77,8.96,0,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O
78,8.95,0,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O
79,8.95,0,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12
80,8.95,0,O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(Cl)c1
81,8.94,1,O=[N+]([O-])c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
82,8.94,0,O=C(Nc1ccc(Br)cc1)c1coc2ccccc2c1=O
83,8.94,0,O=C(Nc1ccc(Br)cc1)c1coc2ccccc2c1=O
84,8.94,0,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O
85,8.93,0,Cc1ccc2oc(=O)c(C(=O)Nc3cccc(Cl)c3)cc2c1
86,8.93,0,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3
87,8.92,0,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
88,8.89,0,C#CCN(C)[C@H](C)Cc1ccccc1
89,8.89,0,C#CCN(C)[C@H](C)Cc1ccccc1
90,8.89,0,Clc1cc(/N=C/c2ccc3[nH]ncc3c2)cnc1Cl
91,8.89,0,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(Br)cc3)ccc12
92,8.89,0,CC(=O)c1ccc(OCc2cccc(Cl)c2)cc1O
93,8.89,0,Clc1cc(/N=C/c2ccc3[nH]ncc3c2)cnc1Cl
94,8.89,0,COCCn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21
95,8.89,0,COCCn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21
96,8.88,0,O=C(Nc1cccc(Br)c1)c1coc2ccccc2c1=O
97,8.88,0,O=C(Nc1cccc(Br)c1)c1coc2ccccc2c1=O
98,8.87,0,COc1ccc(-c2cc3cc(Br)cc(OC)c3oc2=O)cc1
99,8.86,0,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1
100,8.86,0,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O
101,8.85,0,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O
102,8.85,0,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21
103,8.85,0,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
104,8.85,0,COC(=O)c1cc2ccc(OCCc3ccc(Cl)cc3)cc2oc1=O
105,8.85,0,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1
106,8.85,0,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21
107,8.84,0,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1
108,8.84,0,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1
109,8.84,0,O=C(Nc1ccc2[nH]ccc2n1)c1ccc(F)c(Cl)c1
110,8.83,0,C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C
111,8.83,0,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O
112,8.82,0,O=C(Nc1cccc(Cl)c1)c1csc2ccccc2c1=O
113,8.82,0,COc1ccc2oc(=O)c(-c3ccc(C)cc3)cc2c1
114,8.82,0,COc1ccc2c(=O)c(/C=C/c3ccc(Cl)cc3)coc2c1
115,8.82,0,Cn1ncc2cc(C(=O)Nc3ccc(F)c(F)c3)ccc21
116,8.81,0,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O
117,8.8,0,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1
118,8.8,0,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
119,8.8,0,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1
120,8.79,0,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O
121,8.79,0,O=C(COc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1
122,8.78,0,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
123,8.77,1,COc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
124,8.77,0,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1cccnc1
125,8.77,0,O=c1ccc2ccc(OCc3ccccc3)cc2o1
126,8.76,0,O=C(Nc1cccc(O)c1)c1coc2ccccc2c1=O
127,8.76,0,O=C(Nc1cccc(O)c1)c1coc2ccccc2c1=O
128,8.75,0,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2
129,8.74,0,O=C1OCc2ccc(OCc3ccc(I)cc3)cc21
130,8.74,1,Clc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
131,8.72,0,Cc1c(C#N)c(=O)oc2cc(OCc3ccccc3)ccc12
132,8.72,0,Fc1cc(/N=C/c2ccc3[nH]ncc3c2)ccc1Cl
133,8.72,0,Fc1cc(/N=C/c2ccc3[nH]ncc3c2)ccc1Cl
134,8.71,0,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O
135,8.7,0,O=c1ccoc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12
136,8.7,0,O=c1ccoc2ccc(OCc3ccc(Cl)cc3)cc12
137,8.7,0,O=c1ccoc2ccc(OCc3cccc(Br)c3)cc12
138,8.7,0,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
139,8.7,0,O=c1ccoc2ccc(OCc3ccc(Cl)cc3)cc12
