,pChEMBL Value,#RO5 Violations,Smiles
71,8.4,0,COc1ccccc1C(/C=C/c1ccccc1Cl)=N/NC(=O)Cn1c(=O)oc2ccccc21
72,8.4,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
73,8.4,0,Cc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2c(=O)oc3ccccc32)cc1
74,8.4,1,Cc1ccc(C2CC(c3ccccc3O)=NN2C(=O)Oc2ccccc2)cc1
75,8.39,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
76,8.39,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
77,8.39,0,C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1.O=C(O)C(=O)O
78,8.39,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
79,8.39,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
80,8.39,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
81,8.38,1,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
82,8.37,0,Cc1nccc2c1[nH]c1cc(OCC3CCCCC3)ccc12
83,8.36,0,Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)c(F)c1
84,8.36,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
85,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
86,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
87,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
88,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
89,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
90,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
91,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
92,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
93,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
94,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
95,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
96,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
97,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
98,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
99,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
100,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
101,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
102,8.35,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
103,8.34,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
104,8.34,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
105,8.34,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
106,8.33,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
107,8.31,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
108,8.31,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
109,8.31,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
110,8.31,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
111,8.3,0,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
112,8.3,0,COc1ccc2c(c1)[nH]c1c(C)nccc12
113,8.3,0,Cc1nccc2c1[nH]c1cc(OCCc3ccccc3)ccc12
114,8.3,1,Cc1ccc(C2CC(c3ccccc3O)=NN2C(=O)Oc2ccccc2)cc1
115,8.3,0,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
116,8.3,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
117,8.3,0,C=CCOc1ccc2c(c1)[nH]c1c(C)nccc12
118,8.3,0,COc1cccc(C2CC(c3ccccc3)=NN2C(=O)Cn2c(=O)oc3ccc(C)cc32)c1
119,8.28,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
120,8.28,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
121,8.27,0,Cc1ccc(C(=O)NNC(=O)Cn2c(=O)c(Cc3ccccc3)nc3ccccc32)cc1
122,8.27,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
123,8.27,0,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)NNC(=S)Nc1ccccc1
124,8.26,1,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
125,8.26,0,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
126,8.26,0,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
127,8.25,0,CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O
128,8.25,0,CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O
129,8.24,1,Clc1ccccc1/C=N/Nc1nc2ccccc2nc1Cc1ccccc1
130,8.22,0,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O
131,8.22,0,C#CCN(C)CC(=C)c1cccc(OCc2ccccc2)c1.O=C(O)C(=O)O
132,8.21,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
133,8.21,0,COc1ccc(-c2nnc3c(C(=O)c4ccccc4)nc4ccccc4n23)cc1
134,8.21,1,Clc1ccccc1-c1nnc2c(Cc3ccccc3)nc3ccccc3n12
135,8.2,0,C#CCNCC(=C)c1cccc(COc2ccccc2)c1.O=C(O)C(=O)O
136,8.2,0,C(=N/Nc1nc2ccccc2nc1Cc1ccccc1)\c1ccc2c(c1)OCO2
137,8.2,1,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C
138,8.2,0,C#CCN(C)CC(=C)c1ccc(F)c(Cl)c1.O=C(O)C(=O)O
139,8.18,0,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1
140,8.18,0,Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)cc1
141,8.18,0,N#Cc1ccc(OCc2ccc(Br)cc2)cc1C#N
142,8.18,0,C#CCN(C)CC(=C)c1cccc(OCc2cccc(OC)c2)c1.O=C(O)C(=O)O
143,8.17,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
144,8.17,0,COc1ccc(-c2nnc3c(C(=O)c4ccccc4)nc4ccccc4n23)cc1OC
145,8.15,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
