,pChEMBL Value,#RO5 Violations,Smiles
57,8.64,0,Br.Oc1cccc2c1C1C3CCCC3C2N2CCCCC12
58,8.63,1,CSc1cccc(N(C)C(=N)Nc2cc(SCC[18F])ccc2Cl)c1
59,8.62,1,CSc1ccc(Cc2cccc(-c3c(O)nc4cc(Cl)ccc4c3O)c2)cc1
60,8.62,0,CCNC(=O)NCc1ccc(NC(=O)/C=C/c2c(C(=O)[O-])[nH]c3cc(Cl)cc(Cl)c23)cc1.[Na+]
61,8.62,0,Cc1cccc(CC2CCN(C(=O)c3nc4ccc(O)cc4[nH]3)CC2)c1
62,8.62,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12.O=C(O)/C=C\C(=O)O
63,8.61,1,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(CC)c2Br)c1.Cl
64,8.6,0,COc1cccc(CC2CCN(C(=O)c3nc4cc(O)ccc4[nH]3)CC2)c1
65,8.6,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
66,8.59,0,O=C(CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23)Nc1ccccc1
67,8.59,0,O=C(C[C@@H]1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23)Nc1ccccc1
68,8.59,0,CCC(c1c(Cl)c(Cl)cc2nc(O)c(O)nc12)n1cnnc1
69,8.57,0,Cc1ccc(C2(O)CCN([C@@H](C)[C@@H](O)c3ccc(O)cc3)CC2)cc1
70,8.57,0,Cl.c1cc(C2(c3ccoc3)CCc3ccc4c(c3C2)OC4)co1
71,8.55,0,O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(O)c(O)nc12
72,8.54,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
73,8.54,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
74,8.54,0,Cn1cc[n+]2c1C1c3ccccc3C2CC1(c1ccoc1)c1ccoc1.[Cl-]
75,8.54,0,[Cl-].c1ccc2c(c1)C1CC(c3ccoc3)(c3ccoc3)C2c2scc[n+]21
76,8.54,0,O=C(c1nc2cc(O)ccc2[nH]1)N1CCC(Oc2ccc(F)cc2)CC1
77,8.52,0,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1
78,8.52,0,O=C(c1nc2c(O)cccc2[nH]1)N1CCC(Cc2ccccc2)CC1
79,8.52,0,CC(=O)Nc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
80,8.52,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
81,8.51,0,[Cl-].c1ccc2c(c1)C1CC(c3cc[nH]c3)(c3cc[nH]c3)C2c2cccc[n+]21
