,pChEMBL Value,#RO5 Violations,Smiles
45,9.22,1,Cc1nc2cc(C(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6c5CCCC6)ccc4F)CC3)ccc2[nH]1
46,9.22,0,O=C(c1cc[nH]n1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
47,9.22,0,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1
48,9.22,0,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cccc4c(=O)[nH]3)CC2)cc1
49,9.2,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC(c2nc3ccccc3[nH]2)CC1
50,9.19,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3cccc4[nH]ccc34)nc(N3CCOCC3)n2)CC1
51,9.17,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3ccc4cn[nH]c4c3)nc(N3CCOCC3)n2)CC1
52,9.16,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3ccc4[nH]ccc4c3)nc(N3CCOCC3)n2)CC1
53,9.15,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(c2ncccn2)CC1
54,9.15,0,COc1ccc(C(=O)CCC(=O)Nc2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)cc1
55,9.15,1,O=C(c1ccc(Cl)nc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
56,9.15,0,O=C1C2CC2C(=O)N1c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
57,9.15,1,N#Cc1cccnc1N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1
58,9.15,0,O=C(CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)Nc1ccccc1
59,9.15,0,CCS(=O)(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
60,9.15,0,O=C(Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)C1CNC1
61,9.15,0,O=C(Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)C1CNC1
62,9.15,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C2CCCC2)CC1
63,9.15,0,CS(=O)(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
64,9.15,0,O=C1CNC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
65,9.15,0,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F
66,9.15,0,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
67,9.15,0,COc1ccc(C(=O)CCC(=O)Nc2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)cc1
68,9.15,1,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5c4NCCC5)ccc3F)CC2)cc1
69,9.15,1,O=C(c1ccc2nc[nH]c2c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
70,9.15,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(c2ncccn2)CC1
71,9.14,1,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)c(F)c1
72,9.13,0,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21
73,9.13,0,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21
74,9.12,0,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cnco4)cc3)nc12
75,9.1,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(c2cnccn2)CC1
76,9.1,0,CCC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
77,9.1,0,O=C(NCCN1CCCC1=O)c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
78,9.1,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
79,9.1,0,O=C(c1ccco1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
80,9.1,1,O=C(c1cnc2ccccc2c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
81,9.1,0,CNC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1
82,9.1,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(C2CCCCCC2)CC1
83,9.1,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2cccc(C(F)(F)F)c2)CC1
84,9.1,0,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
85,9.1,0,O=C(c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1)N1CCN(c2ncccn2)CC1
86,9.1,0,CS(=O)(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
87,9.1,0,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
88,9.1,0,O=C(c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1)N1CCN(c2ncccn2)CC1
89,9.1,0,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
90,9.1,0,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F
91,9.1,0,O=CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1N1CCOCC1
92,9.08,1,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cc1F
93,9.05,0,Nc1cc(F)cc2c(=O)[nH]c(CCCN3CCN(c4ccc(F)cc4)CC3)cc12
94,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(C(=O)N2CCCC2)CC1
95,9.05,0,O=C1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CCN1
96,9.05,0,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncc(F)cc5c(=O)[nH]4)CC3)CC2)cc1
97,9.05,0,CC(C)(c1nc2c(C(N)=O)cccc2[nH]1)N1CCCC1
98,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccncc2)CC1
99,9.05,0,Cc1cncc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5c4NCCC5)ccc3F)CC2)n1
100,9.05,0,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)c(F)c1
101,9.05,0,O=C(c1ccccc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
102,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
103,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2cccnc2)CC1
104,9.05,0,O=C1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CCN1
105,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
106,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(c2cccnc2)CC1
107,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C(F)(F)F)CC1
